iter	Passed	Remaining
403	10131	2407
404	10154	2381
405	10180	2356
406	10204	2331
407	10235	2307
408	10255	2281
409	10278	2256
410	10306	2231
411	10331	2206
412	10358	2182
413	10384	2157
414	10415	2133
415	10438	2107
416	10464	2082
417	10484	2056
418	10507	2031
419	10528	2005
420	10553	1980
421	10579	1955
422	10604	1930
423	10631	1905
424	10654	1880
425	10680	1855
426	10711	1831
427	10738	1806
428	10766	1781
429	10798	1757
430	10847	1736
431	10885	1713
432	10910	1688
433	10944	1664
434	10971	1639
435	10998	1614
436	11037	1591
437	11084	1569
438	11134	1547
439	11170	1523
440	11213	1500
441	11255	1476
442	11293	1453
443	11340	1430
444	11396	1408
445	11451	1386
446	11508	1364
447	11551	1340
448	11607	1318
449	11647	1294
450	11694	1270
451	11736	1246
452	11783	1222
453	11832	1198
454	11898	1176
455	11945	1152
456	11992	1128
457	12064	1106
458	12136	1084
459	12184	1059
460	12235	1035
461	12277	1009
462	12444	994
463	12618	979
464	12698	955
465	12740	929
466	12791	903
467	12854	878
468	12896	852
469	12924	824
470	12958	797
471	13008	771
472	13067	745
473	13120	719
474	13163	692
475	13206	665
476	13239	638
477	13281	611
478	13319	583
479	13360	556
480	13393	529
481	13424	501
482	13462	473
483	13490	445
484	13524	418
485	13560	390
486	13606	363
487	13665	336
488	13725	308
489	13773	281
490	13809	253
491	13847	225
492	13888	197
493	13947	169
494	13995	141
495	14053	113
496	14090	85
497	14146	56
498	14184	28
499	14230	0
